order_id,customer_id,city,product_name,category,order_value,order_date
1,76,Bangalore,Product_86,Home,103.87,2023-01-01
1,76,Bangalore,Product_79,Home,103.87,2023-01-01
1,76,Bangalore,Product_75,Home,103.87,2023-01-01
1,76,Bangalore,Product_71,Home,103.87,2023-01-01
1,76,Bangalore,Product_57,Home,103.87,2023-01-01
1,76,Bangalore,Product_46,Home,103.87,2023-01-01
1,76,Bangalore,Product_44,Home,103.87,2023-01-01
1,76,Bangalore,Product_43,Home,103.87,2023-01-01
1,76,Bangalore,Product_33,Home,103.87,2023-01-01
1,76,Bangalore,Product_22,Home,103.87,2023-01-01
1,76,Bangalore,Product_21,Home,103.87,2023-01-01
1,76,Bangalore,Product_13,Home,103.87,2023-01-01
1,76,Bangalore,Product_6,Home,103.87,2023-01-01
2,108,Bangalore,Product_86,Home,139.61,2023-01-02
2,108,Bangalore,Product_79,Home,139.61,2023-01-02
2,108,Bangalore,Product_75,Home,139.61,2023-01-02
2,108,Bangalore,Product_71,Home,139.61,2023-01-02
2,108,Bangalore,Product_57,Home,139.61,2023-01-02
2,108,Bangalore,Product_46,Home,139.61,2023-01-02
2,108,Bangalore,Product_44,Home,139.61,2023-01-02
2,108,Bangalore,Product_43,Home,139.61,2023-01-02
2,108,Bangalore,Product_33,Home,139.61,2023-01-02
2,108,Bangalore,Product_22,Home,139.61,2023-01-02
2,108,Bangalore,Product_21,Home,139.61,2023-01-02
2,108,Bangalore,Product_13,Home,139.61,2023-01-02
2,108,Bangalore,Product_6,Home,139.61,2023-01-02
3,156,Mumbai,Product_99,Books,81.76,2023-01-03
3,156,Mumbai,Product_91,Books,81.76,2023-01-03
3,156,Mumbai,Product_90,Books,81.76,2023-01-03
3,156,Mumbai,Product_87,Books,81.76,2023-01-03
3,156,Mumbai,Product_82,Books,81.76,2023-01-03
3,156,Mumbai,Product_81,Books,81.76,2023-01-03
3,156,Mumbai,Product_78,Books,81.76,2023-01-03
3,156,Mumbai,Product_59,Books,81.76,2023-01-03
3,156,Mumbai,Product_53,Books,81.76,2023-01-03
3,156,Mumbai,Product_51,Books,81.76,2023-01-03
3,156,Mumbai,Product_47,Books,81.76,2023-01-03
3,156,Mumbai,Product_36,Books,81.76,2023-01-03
3,156,Mumbai,Product_34,Books,81.76,2023-01-03
3,156,Mumbai,Product_29,Books,81.76,2023-01-03
3,156,Mumbai,Product_28,Books,81.76,2023-01-03
3,156,Mumbai,Product_15,Books,81.76,2023-01-03
3,156,Mumbai,Product_12,Books,81.76,2023-01-03
3,156,Mumbai,Product_11,Books,81.76,2023-01-03
3,156,Mumbai,Product_10,Books,81.76,2023-01-03
3,156,Mumbai,Product_5,Books,81.76,2023-01-03
3,156,Mumbai,Product_2,Books,81.76,2023-01-03
3,156,Mumbai,Product_1,Books,81.76,2023-01-03
4,82,Kolkata,Product_100,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_97,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_96,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_95,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_88,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_85,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_80,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_74,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_67,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_66,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_64,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_62,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_58,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_52,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_41,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_30,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_26,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_25,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_18,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_9,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_8,Electronics,95.05,2023-01-04
4,82,Kolkata,Product_4,Electronics,95.05,2023-01-04
5,77,Mumbai,Product_94,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_93,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_92,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_89,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_83,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_77,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_76,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_68,Clothing,39.99,2023-01-05
5,77,Mumbai,Product_65,Clothing,39.99,2023-01-05
